Column1
"[0, 601, 838, 623, 653, 1380, 1011, 404, 334, 526, 186, 573, 308, 978, 196, 1180, 256, 767, 306, 518, 773, 419]"
"[601, 0, 491, 50, 820, 821, 452, 387, 893, 1077, 787, 756, 783, 377, 739, 729, 797, 1016, 309, 1119, 214, 286]"
"[838, 491, 0, 513, 329, 542, 173, 434, 1172, 586, 804, 265, 530, 868, 642, 342, 582, 525, 588, 628, 309, 565]"
"[623, 50, 513, 0, 842, 871, 502, 409, 843, 1099, 809, 778, 805, 355, 761, 751, 819, 1038, 317, 1141, 264, 236]"
"[653, 820, 329, 842, 0, 727, 440, 433, 987, 257, 619, 80, 345, 1197, 457, 527, 397, 196, 525, 421, 638, 638]"
"[1380, 821, 542, 871, 727, 0, 369, 976, 1714, 854, 1346, 807, 1072, 796, 1184, 310, 1124, 613, 1130, 1148, 607, 1107]"
"[1011, 452, 173, 502, 440, 369, 0, 607, 1345, 697, 977, 438, 703, 757, 815, 349, 755, 636, 761, 779, 238, 738]"
"[404, 387, 434, 409, 433, 976, 607, 0, 738, 690, 400, 369, 396, 764, 352, 776, 410, 629, 154, 732, 369, 205]"
"[334, 893, 1172, 843, 987, 1714, 1345, 738, 0, 860, 368, 907, 642, 1004, 530, 1514, 590, 1101, 584, 566, 1107, 607]"
"[526, 1077, 586, 1099, 257, 854, 697, 690, 860, 0, 492, 321, 294, 1454, 338, 654, 280, 241, 782, 294, 895, 895]"
"[186, 787, 804, 809, 619, 1346, 977, 400, 368, 492, 0, 539, 274, 1164, 162, 1146, 222, 733, 492, 332, 739, 605]"
"[573, 756, 265, 778, 80, 807, 438, 369, 907, 321, 539, 0, 265, 1133, 377, 607, 317, 260, 461, 363, 574, 574]"
"[308, 783, 530, 805, 345, 1072, 703, 396, 642, 294, 274, 265, 0, 1160, 112, 872, 52, 459, 488, 336, 601, 601]"
"[978, 377, 868, 355, 1197, 796, 757, 764, 1004, 1454, 1164, 1133, 1160, 0, 1116, 1106, 1174, 1393, 672, 1496, 559, 559]"
"[196, 739, 642, 761, 457, 1184, 815, 352, 530, 338, 162, 377, 112, 1116, 0, 984, 60, 571, 444, 380, 577, 557]"
"[1180, 729, 342, 751, 527, 310, 349, 776, 1514, 654, 1146, 607, 872, 1106, 984, 0, 924, 413, 930, 948, 547, 907]"
"[256, 797, 582, 819, 397, 1124, 755, 410, 590, 280, 222, 317, 52, 1174, 60, 924, 0, 511, 502, 322, 615, 615]"
"[767, 1016, 525, 1038, 196, 613, 636, 629, 1101, 241, 733, 260, 459, 1393, 571, 413, 511, 0, 721, 535, 834, 834]"
"[306, 309, 588, 317, 525, 1130, 761, 154, 584, 782, 492, 461, 488, 672, 444, 930, 502, 721, 0, 824, 523, 113]"
"[518, 1119, 628, 1141, 421, 1148, 779, 732, 566, 294, 332, 363, 336, 1496, 380, 948, 322, 535, 824, 0, 937, 937]"
"[773, 214, 309, 264, 638, 607, 238, 369, 1107, 895, 739, 574, 601, 559, 577, 547, 615, 834, 523, 937, 0, 500]"
"[419, 286, 565, 236, 638, 1107, 738, 205, 607, 895, 605, 574, 601, 559, 557, 907, 615, 834, 113, 937, 500, 0]"
